Image;La2_length;La2_mm;La3_length;La3_mm;La4_length;La4_mm;Ra2_length;Ra2_mm;Ra3_length;Ra3_mm;Ra4_length;Ra4_mm;Body_length;Body_mm
;;;;;;;;;;;;;;
img (343).JPG;104.1500828;0.210231492;127.3568215;0.257075308;138.3951599;0.279356677;99.16593595;0.200170774;141.0446273;0.284704742;129.7167455;0.261838918;2049.119826;4.136237892
;;;;;;;;;;;;;;
img (345).JPG;105.1006634;0.212150281;144.0597029;0.290790804;165.7123736;0.334497666;101.005774;0.203884567;142.3157025;0.287270463;146.0291126;0.294766144;2099.46518;4.237862187
;;;;;;;;;;;;;;
img (347).JPG;117.2296724;0.236633215;151.8356824;0.306486958;150.5969013;0.303986425;121.7827085;0.245823718;151.4578745;0.305724337;147.9507397;0.298645032;2209.086302;4.459137211
;;;;;;;;;;;;;;
img (349).JPG;110.7387754;0.223531056;139.4551214;0.281496255;144.8667754;0.292419915;105.3010488;0.212554767;151.0831727;0.304967985;158.871893;0.320689857;2011.845666;4.06099837
;;;;;;;;;;;;;;
img (35).JPG;108.7509257;0.219518495;132.0077305;0.266463371;145.8034544;0.294310643;114.0106962;0.230135571;146.8216848;0.296365985;162.5338198;0.328081616;2292.418188;4.627346265
;;;;;;;;;;;;;;
img (351).JPG;109.467795;0.220965527;138.710444;0.279993091;149.565927;0.301905358;106.8032592;0.215587045;142.7619178;0.288171168;141.6277105;0.285881721;2044.68092;4.127277765
;;;;;;;;;;;;;;
img (353).JPG;92.89577521;0.187514181;125.9268794;0.254188907;133.9245098;0.270332474;106.9012368;0.215784817;142.0152786;0.286664044;136.1615537;0.274848045;2126.251309;4.291931158
;;;;;;;;;;;;;;
img (355).JPG;114.8328086;0.231795041;134.0109938;0.270507046;138.8279725;0.280230328;118.7813384;0.239765321;144.9245042;0.292536443;153.7824639;0.310416622;2203.876153;4.448620297
;;;;;;;;;;;;;;
img (357).JPG;100.1407542;0.202138487;136.9673881;0.276474657;136.6543614;0.275842799;101.4190219;0.204718727;133.5460631;0.269568563;135.5603716;0.273634532;1948.586935;3.933307858
;;;;;;;;;;;;;;
img (359).JPG;103.596087;0.209113228;128.5914151;0.259567389;125.8405026;0.254014552;101.3061845;0.204490959;132.8997688;0.268263989;122.9373042;0.248154319;1928.561749;3.892886146
;;;;;;;;;;;;;;
